line,egg_length,egg_width,egg_volume,line_type
A1,98.7,18.89,147526.3773,ASG
A1,100.68,18.73,147947.4114,ASG
A1,94.01,20.14,159728.1988,ASG
A1,101.5,19.64,163997.6476,ASG
A1,99.35,19.6,159870.6068,ASG
A1,92.42,20.35,160318.4113,ASG
A1,101.88,20.91,186588.817,ASG
A1,100.33,19.43,158659.1133,ASG
A1,101.91,19.76,166678.3879,ASG
A1,96.7,18.01,131384.0088,ASG
A1,101.03,19.39,159108.9393,ASG
A1,100.13,18.82,148556.6385,ASG
A1,99.59,19.81,163709.2778,ASG
A1,96.81,19.79,158818.2542,ASG
A1,91.13,15.94,96989.92281,ASG
A1,99.04,19.98,165611.3925,ASG
A1,96.46,18.01,131057.9265,ASG
A1,102.2,20.25,175545.4431,ASG
A1,98.08,19.49,156060.4104,ASG
A1,98.16,19.23,152048.3556,ASG
A1,100.33,20.14,170466.229,ASG
A1,100.03,19.02,151579.3022,ASG
A1,85.94,17.92,115600.5684,ASG
A1,89.76,19.17,138170.6113,ASG
A1,94.13,19.27,146413.1544,ASG
A1,98.53,19.66,159523.2978,ASG
A1,100.34,18.76,147920.5027,ASG
A1,91.76,17.2,113710.0651,ASG
A1,96.01,18.79,141990.2877,ASG
A1,89.02,15.1,85021.76058,ASG
A2,88.99,20.31,153762.2279,ASG
A2,92.18,20.66,164810.9063,ASG
A2,100.45,19.84,165623.4725,ASG
A2,95,20.01,159333.2416,ASG
A2,92.11,20.16,156810.9721,ASG
A2,95.99,19.83,158110.2515,ASG
A2,89.7,19.76,146708.3838,ASG
A2,95.68,20.37,166299.841,ASG
A2,98.23,19.65,158875.8411,ASG
A2,93.16,19.88,154223.6045,ASG
A2,98.27,20.13,166800.4105,ASG
A2,100.55,20.79,182045.3805,ASG
A2,97.94,19.46,155358.2716,ASG
A2,99.94,20.09,168961.5278,ASG
A2,93.52,20.37,162545.5804,ASG
A2,92.75,19.63,149707.3513,ASG
A2,98.89,19.72,161084.8909,ASG
A2,95.56,19.69,155187.302,ASG
A2,94.71,20.24,162519.4943,ASG
A2,97.52,19.58,156605.7403,ASG
A2,95.11,20.64,169720.4509,ASG
A2,86.55,20.08,146178.3645,ASG
A2,91.88,20.46,161109.3905,ASG
A2,102.07,18.78,150791.8606,ASG
A2,95.54,19.41,150773.4655,ASG
