plate,well,sex,eclosion date,note,eclosion_status
1,A1,m,10/02/2022,,eclosed
1,A2,f,12/02/2022,,eclosed
1,A3,f,12/02/2022,,eclosed
1,A4,f,12/02/2022,,eclosed
1,A5,f,12/02/2022,,eclosed
1,A6,m,11/02/2022,,eclosed
1,A7,f,13/02/2022,,eclosed
1,A8,f,11/02/2022,,eclosed
1,A9,m,13/02/2022,,eclosed
1,A10,m,12/02/2022,,eclosed
1,A11,,,not eclosed,not_eclosed
1,A12,m,12/02/2022,,eclosed
1,B1,f,17/02/2022,,eclosed
1,B2,m,12/02/2022,,eclosed
1,B3,f,10/02/2022,,eclosed
1,B4,f,11/02/2022,,eclosed
1,B5,f,10/02/2022,,eclosed
1,B6,m,12/02/2022,,eclosed
1,B7,f,13/02/2022,,eclosed
1,B8,m,12/02/2022,,eclosed
1,B9,f,12/02/2022,,eclosed
1,B10,f,13/02/2022,,eclosed
1,B11,m,12/02/2022,,eclosed
1,B12,,,no pupae,n/a
1,C1,,,,not_eclosed
1,C2,,,,not_eclosed
1,C3,m,11/02/2022,,eclosed
1,C4,f,13/02/2022,,eclosed
1,C5,f,15/02/2022,,eclosed
1,C6,f,11/02/2022,,eclosed
1,C7,m,16/02/2022,,eclosed
1,C8,m,10/02/2022,,eclosed
1,C9,m,15/02/2022,,eclosed
1,C10,m,16/02/2022,,eclosed
1,C11,f,13/02/2022,,eclosed
1,C12,m,13/02/2022,,eclosed
1,D1,f,11/02/2022,,eclosed
1,D2,m,12/02/2022,,eclosed
1,D3,f,12/02/2022,,eclosed
1,D4,m,12/02/2022,,eclosed
1,D5,m,12/02/2022,,eclosed
1,D6,f,11/02/2022,,eclosed
1,D7,,,,not_eclosed
1,D8,m,11/02/2022,,eclosed
1,D9,f,11/02/2022,,eclosed
1,D10,f,11/02/2022,,eclosed
1,D11,f,13/02/2022,,eclosed
1,D12,m,11/02/2022,,eclosed
1,E1,m,12/02/2022,,eclosed
1,E2,,,get rid of - 2 flies,n/a
1,E3,m,11/02/2022,,eclosed
1,E4,m,10/02/2022,,eclosed
1,E5,f,13/02/2022,,eclosed
1,E6,f,13/02/2022,,eclosed
1,E7,f,12/02/2022,,eclosed
1,E8,f,12/02/2022,,eclosed
1,E9,f,11/02/2022,,eclosed
1,E10,m,11/02/2022,,eclosed
1,E11,m,17/02/2022,,eclosed
1,E12,m,11/02/2022,,eclosed
1,F1,m,13/02/2022,,eclosed
1,F2,m,11/02/2022,,eclosed
1,F3,m,10/02/2022,,eclosed
1,F4,m,13/02/2022,,eclosed
1,F5,f,12/02/2022,,eclosed
1,F6,m,11/02/2022,,eclosed
1,F7,m,11/02/2022,,eclosed
1,F8,m,14/02/2022,,eclosed
1,F9,m,12/02/2022,,eclosed
1,F10,f,13/02/2022,,eclosed
1,F11,f,11/02/2022,,eclosed
1,F12,,,,not_eclosed
1,G1,f,10/02/2022,,eclosed
1,G2,m,12/02/2022,,eclosed
1,G3,f,11/02/2022,,eclosed
1,G4,f,11/02/2022,,eclosed
1,G5,f,13/02/2022,,eclosed
1,G6,m,17/02/2022,,eclosed
1,G7,m,12/02/2022,,eclosed
1,G8,m,13/02/2022,,eclosed
1,G9,f,12/02/2022,,eclosed
1,G10,m,12/02/2022,,eclosed
1,G11,f,11/02/2022,,eclosed
1,G12,m,12/02/2022,,eclosed
1,H1,f,10/02/2022,,eclosed
1,H2,,,,not_eclosed
1,H3,m,11/02/2022,,eclosed
1,H4,f,13/02/2022,had two females in at end,eclosed
1,H5,f,13/02/2022,,eclosed
1,H6,f,13/02/2022,,eclosed
1,H7,f,15/02/2022,,eclosed
1,H8,m,12/02/2022,,eclosed
1,H9,m,13/02/2022,,eclosed
1,H10,m,12/02/2022,,eclosed
1,H11,f,12/02/2022,,eclosed
1,H12,f,11/02/2022,,eclosed
2,A1,m,12/02/2022,,eclosed
2,A2,m,11/02/2022,,eclosed
2,A3,m,13/02/2022,,eclosed
2,A4,f,11/02/2022,,eclosed
2,A5,f,15/02/2022,,eclosed
2,A6,f,15/02/2022,,eclosed
2,A7,f,12/02/2022,,eclosed
2,A8,f,12/02/2022,,eclosed
2,A9,m,14/02/2022,,eclosed
2,A10,,,,not_eclosed
2,A11,m,12/02/2022,,eclosed
2,A12,m,17/02/2022,,eclosed
2,B1,m,11/02/2022,,eclosed
2,B2,m,12/02/2022,,eclosed
2,B3,f,12/02/2022,,eclosed
2,B4,f,10/02/2022,,eclosed
2,B5,f,13/02/2022,,eclosed
2,B6,f,13/02/2022,,eclosed
2,B7,m,13/02/2022,,eclosed
2,B8,f,10/02/2022,,eclosed
2,B9,f,12/02/2022,,eclosed
2,B10,f,12/02/2022,,eclosed
2,B11,f,12/02/2022,,eclosed
2,B12,f,12/02/2022,,eclosed
2,C1,f,13/02/2022,,eclosed
2,C2,f,16/02/2022,,eclosed
2,C3,m,11/02/2022,,eclosed
2,C4,m,12/02/2022,,eclosed
2,C5,f,11/02/2022,,eclosed
2,C6,f,13/02/2022,,eclosed
2,C7,f,13/02/2022,,eclosed
2,C8,f,10/02/2022,,eclosed
2,C9,f,13/02/2022,,eclosed
2,C10,f,15/02/2022,,eclosed
2,C11,f,12/02/2022,,eclosed
2,C12,m,11/02/2022,,eclosed
2,D1,m,11/02/2022,,eclosed
2,D2,m,13/02/2022,,eclosed
2,D3,f,12/02/2022,,eclosed
2,D4,m,11/02/2022,,eclosed
2,D5,m,12/02/2022,,eclosed
2,D6,m,11/02/2022,,eclosed
2,D7,f,13/02/2022,,eclosed
2,D8,,,,not_eclosed
2,D9,m,11/02/2022,,eclosed
2,D10,m,13/02/2022,,eclosed
2,D11,f,12/02/2022,,eclosed
2,D12,f,15/02/2022,,eclosed
2,E1,f,13/02/2022,,eclosed
2,E2,f,11/02/2022,,eclosed
2,E3,f,11/02/2022,,eclosed
2,E4,f,12/02/2022,,eclosed
2,E5,f,12/02/2022,,eclosed
2,E6,f,12/02/2022,,eclosed
2,E7,m,11/02/2022,,eclosed
2,E8,m,11/02/2022,,eclosed
2,E9,m,10/02/2022,,eclosed
2,E10,m,10/02/2022,,eclosed
2,E11,m,13/02/2022,,eclosed
2,E12,f,13/02/2022,,eclosed
2,F1,m,12/02/2022,,eclosed
2,F2,f,12/02/2022,,eclosed
2,F3,f,11/02/2022,,eclosed
2,F4,m,10/02/2022,,eclosed
2,F5,m,12/02/2022,,eclosed
2,F6,f,12/02/2022,,eclosed
2,F7,f,11/02/2022,,eclosed
2,F8,f,10/02/2022,,eclosed
2,F9,f,10/02/2022,,eclosed
2,F10,f,13/02/2022,,eclosed
2,F11,f,12/02/2022,,eclosed
2,F12,f,12/02/2022,,eclosed
2,G1,f,13/02/2022,,eclosed
2,G2,f,10/02/2022,,eclosed
2,G3,m,16/02/2022,,eclosed
2,G4,f,15/02/2022,,eclosed
2,G5,f,12/02/2022,,eclosed
2,G6,m,10/02/2022,,eclosed
2,G7,f,12/02/2022,,eclosed
2,G8,,,,not_eclosed
2,G9,m,11/02/2022,,eclosed
2,G10,m,11/02/2022,,eclosed
2,G11,m,12/02/2022,,eclosed
2,G12,m,13/02/2022,,eclosed
2,H1,m,12/02/2022,,eclosed
2,H2,f,12/02/2022,,eclosed
2,H3,f,12/02/2022,,eclosed
2,H4,m,15/02/2022,,eclosed
2,H5,f,12/02/2022,,eclosed
2,H6,m,13/02/2022,,eclosed
2,H7,m,13/02/2022,,eclosed
2,H8,f,12/02/2022,,eclosed
2,H9,m,12/02/2022,,eclosed
2,H10,m,13/02/2022,,eclosed
2,H11,m,12/02/2022,,eclosed
2,H12,m,11/02/2022,,eclosed
3,A1,m,14/02/2022,,eclosed
3,A2,f,11/02/2022,,eclosed
3,A3,,,,not_eclosed
3,A4,m,10/02/2022,,eclosed
3,A5,m,13/02/2022,,eclosed
3,A6,f,13/02/2022,,eclosed
3,A7,,,escaped but eclosed,n/a
3,A8,f,13/02/2022,,eclosed
3,A9,f,12/02/2022,,eclosed
3,A10,f,12/02/2022,,eclosed
3,A11,m,12/02/2022,,eclosed
3,A12,m,11/02/2022,2 flies at end,eclosed
